Incubyte	College	Domain	Date	OA_Question_Paper
ProcDNA	NIT Jamshedpur +Durgapur + VNIT NAGPUR			procdna.pdf
Meesho	NIT Bhopal + Suratkal+ Raipur +Durgapur
Infoedge	NIT Calicut + NIT Allahabad
Ion Group	NIT Calicut + NIT Allahabad
Delloite	VNIT NAGPUR + IIEST Shibpur + IIT GUWAHATI			Delloite OA
Texas	NSUT + NIT Allahabad
INCREFF	NIT Calicut + NIT SRINAGAR
Eternal(Zomato)	NSUT + NIT Allahabad			https://docs.google.com/document/d/1Eh5PD4CnvMfkfrxv7hdezcT9jUV8nmM5hR3iAvkbw_k/edit?usp=sharing
British Petrolium	IIT R + NIT Agartala
Fanatics	NIT Raipur
Meesho	NIT Bhopal  +NIT Suratkal +Raipur + NIT kurukshetra , IIIT ALLAHABAD			https://docs.google.com/document/d/1Eh5PD4CnvMfkfrxv7hdezcT9jUV8nmM5hR3iAvkbw_k/edit?usp=sharing	https://drive.google.com/file/d/1g9amfIRkdfcvHMwJgyTXMAVVRl8WtNan/view?usp=drivesdk
Amazon
MicroSoft
Sprinklr	IIIT Allahabad
HSBC	NSUT + nit kurukshetra
Flipkart	NIT Allahabad			https://drive.google.com/file/d/1TYIsZTMK11azJTKbdw3B5dIfa4cWefIq/view?usp=sharing
Schneider
Atlas
Cosco
PhonePay	NIT Agartala+ NIT K (sde role) + NIT Allahabad + NIT Raipur
FutureFirst	NIT Silcher+ Agartala+ Raipur+ Bhopal + NIT ALLAHABAD			https://drive.google.com/file/d/1u1TsH2J6PnJPL23oTt79N0VmaMFj5lWy/view?usp=drive_link	NIT  ALLAHABAD(68 question ,33 minute)		https://drive.google.com/file/d/10hUoU9TCuHe9LPZ7Q1y-V7EUFWC8-Q21/view?usp=drivesdk
TI	NIT Durgapur + NIT Raipur
MAKE MY TRIP	NIT SRINAGAR + Agartala+ Raipur  + NIT kurukshetra + NIT Raipur  + NIT Allahabad			Make my trip
"Leap finance:- tech/program/product intern
Future first:- financial market intern
Ozi:- full stack developer/ backend /flutter/product intern
TMRW:- sde
Schlumberger:- core/data analyst
Eaton:- refer jd
Sigmoid:- sde trainee/data engineer
Hindustan Unilever Ltd:- supply chain management
Meesho:- data scientist/sde / business analyst
Dp world:- sde"	NIT Jamshedpur
qualcomm 	NIT Calicut + NIT Allahabad 			60 question -- 3 section -- 20 question 30 minute per section, MCQ Aptitude ,programming, CS fundamental
"Rocol (Software Engineer)
Procol (Software Engineer)
Meesho (SDE-I ,Data Scientist I,Business Analyst I)
MathWorks India Private Ltd
Lumber (Full-Stack Developer Role)"	IIIT ALLAHABAD
Media.net	NIT Agartala+ Silchar + NIT Allahabad			https://drive.google.com/drive/folders/18waNO766mEbKsguGjOabwUJrK5Y3PpZ7?usp=drive_link
Oracle PYQs 2025+2024 Batch 	NIT Sringar 			oracle
PhonePay	Nit Agartala + NIT Allahabad , IIIT ALLAHABA			https://docs.google.com/document/d/1Eh5PD4CnvMfkfrxv7hdezcT9jUV8nmM5hR3iAvkbw_k/edit?usp=sharing	https://drive.google.com/drive/folders/1e-3ArqdbrDXuQSxvWbGxgBE_x3KFC25Q
Wells Fargo 	nit Kurukshetra
uber				https://drive.google.com/file/d/1RQ135sf2BCXmOgsFe1HxSlLtGQChBlJ1/view?usp=drivesdk
Axxela 			Axxela
			https://drive.google.com/drive/folders/1_R3Q8HQzR-htcWttPfWJcA2VQ08Ix3bt
ProcDNA, accordion-Data engineering	Nit kurukshetra
BlackRock	NIT Raipur 			https://drive.google.com/drive/folders/1VWDBWyqPVPUmsJTHg6a8hAQd6wVa1r3O
ZS Associates 	NIT Raipur 			https://drive.google.com/file/d/17MuTzzWNnKBxC_p1VW28DvIBs9MUu8Rm/view?usp=drive_link	https://drive.google.com/drive/folders/1fbBnTE-Ug01vKcilwlqJbk67xO3EAi_g
Auxia Software	NIT Allahabad
SAP LABS	NIT Calicut
